radar_key,distance,easting,northing,elevation,bed_elevation,temperate,temperate_elevation,temperate_lower,temperate_upper,temperate_gpr_uncertainty,bed_type
dronbreen-20220328-DAT_0228_A1_2,255.0,538503.7,8670242.57,670.143,594.898,0.0,594.898,0.0,0.0,1.524,certain_cold
dronbreen-20220328-DAT_0228_A1_2,260.0,538508.24,8670241.33,669.318,594.282,0.0,594.282,0.0,0.0,1.524,certain_cold
dronbreen-20220328-DAT_0228_A1_2,265.0,538513.07,8670239.95,668.417,593.485,0.0,593.485,0.0,0.0,1.522,certain_cold
dronbreen-20220328-DAT_0228_A1_2,270.0,538518.22,8670238.47,667.423,592.386,0.0,592.386,0.0,0.0,1.524,certain_cold
dronbreen-20220328-DAT_0228_A1_2,275.0,538523.07,8670237.17,666.541,591.504,0.0,591.504,0.0,0.0,1.524,certain_cold
dronbreen-20220328-DAT_0228_A1_2,280.0,538528.01,8670235.87,665.692,590.655,0.0,590.655,0.0,0.0,1.524,certain_cold
dronbreen-20220328-DAT_0228_A1_2,285.0,538532.48,8670234.74,664.932,589.895,0.0,589.895,0.0,0.0,1.524,certain_cold
dronbreen-20220328-DAT_0228_A1_2,290.0,538537.36,8670233.3,664.066,588.717,0.0,588.717,0.0,0.0,1.53,certain_cold
dronbreen-20220328-DAT_0228_A1_2,295.0,538541.7,8670231.93,663.306,587.749,0.0,587.749,0.0,0.0,1.534,certain_cold
dronbreen-20220328-DAT_0228_A1_2,300.0,538547.04,8670230.22,662.382,586.512,0.0,586.512,0.0,0.0,1.543,certain_cold
dronbreen-20220328-DAT_0228_A1_2,305.0,538551.24,8670228.79,661.657,585.37,0.0,585.37,0.0,0.0,1.549,certain_cold
dronbreen-20220328-DAT_0228_A1_2,310.0,538556.46,8670226.96,660.76,583.952,0.0,583.952,0.0,0.0,1.559,certain_cold
dronbreen-20220328-DAT_0228_A1_2,315.0,538560.59,8670225.59,660.06,582.836,0.0,582.836,0.0,0.0,1.567,certain_cold
dronbreen-20220328-DAT_0228_A1_2,320.0,538565.79,8670224.06,659.234,581.28,0.0,581.28,0.0,0.0,1.582,certain_cold
dronbreen-20220328-DAT_0228_A1_2,325.0,538570.1,8670222.76,658.641,580.166,0.0,580.166,0.0,0.0,1.592,certain_cold
dronbreen-20220328-DAT_0228_A1_2,330.0,538575.35,8670221.36,658.022,578.921,0.0,578.921,0.0,0.0,1.604,certain_cold
dronbreen-20220328-DAT_0228_A1_2,335.0,538579.82,8670220.16,657.529,577.177,0.0,577.177,0.0,0.0,1.629,uncertain_cold
dronbreen-20220328-DAT_0228_A1_2,340.0,538584.75,8670218.84,657.01,575.408,0.0,575.408,0.0,0.0,1.654,uncertain_cold
dronbreen-20220328-DAT_0228_A1_2,345.0,538590.21,8670217.36,656.511,573.554,0.0,573.554,0.0,0.0,1.68,certain_cold
dronbreen-20220328-DAT_0228_A1_2,350.0,538595.08,8670216.22,656.122,571.706,0.0,571.706,0.0,0.0,1.709,certain_cold
dronbreen-20220328-DAT_0228_A1_2,355.0,538599.17,8670215.09,655.831,570.373,0.0,570.373,0.0,0.0,1.734,certain_cold
dronbreen-20220328-DAT_0228_A1_2,360.0,538604.76,8670213.64,655.475,568.454,0.0,568.454,0.0,0.0,1.771,certain_cold
dronbreen-20220328-DAT_0228_A1_2,365.0,538609.15,8670212.46,655.212,566.94,0.0,566.94,0.0,0.0,1.794,certain_cold
dronbreen-20220328-DAT_0228_A1_2,370.0,538614.26,8670210.98,654.892,565.057,0.0,565.057,0.0,0.0,1.82,certain_cold
dronbreen-20220328-DAT_0228_A1_2,375.0,538618.91,8670209.52,654.599,563.513,0.0,563.513,0.0,0.0,1.843,certain_cold
dronbreen-20220328-DAT_0228_A1_2,380.0,538623.94,8670207.86,654.272,561.936,0.0,561.936,0.0,0.0,1.866,certain_cold
dronbreen-20220328-DAT_0228_A1_2,385.0,538628.07,8670206.49,654.026,560.543,0.0,560.543,0.0,0.0,1.888,certain_cold
dronbreen-20220328-DAT_0228_A1_2,390.0,538633.31,8670204.78,653.746,559.325,0.0,559.325,0.0,0.0,1.907,certain_cold
dronbreen-20220328-DAT_0228_A1_2,395.0,538637.77,8670203.45,653.534,557.967,0.0,557.967,0.0,0.0,1.93,certain_cold
dronbreen-20220328-DAT_0228_A1_2,400.0,538642.56,8670202.26,653.294,556.477,0.0,556.477,0.0,0.0,1.954,certain_cold
dronbreen-20220328-DAT_0228_A1_2,405.0,538647.81,8670200.86,652.982,555.226,0.0,555.226,0.0,0.0,1.973,certain_cold
dronbreen-20220328-DAT_0228_A1_2,410.0,538652.61,8670199.54,652.678,554.089,0.0,554.089,0.0,0.0,1.99,certain_cold
dronbreen-20220328-DAT_0228_A1_2,415.0,538657.19,8670198.42,652.384,552.753,0.0,552.753,0.0,0.0,2.01,certain_cold
dronbreen-20220328-DAT_0228_A1_2,420.0,538662.03,8670197.29,652.073,551.712,0.0,551.712,0.0,0.0,2.025,certain_cold
dronbreen-20220328-DAT_0228_A1_2,425.0,538667.19,8670195.89,651.72,550.63,0.0,550.63,0.0,0.0,2.039,certain_cold
dronbreen-20220328-DAT_0228_A1_2,430.0,538672.16,8670194.79,651.382,549.562,0.0,549.562,0.0,0.0,2.054,certain_cold
dronbreen-20220328-DAT_0228_A1_2,435.0,538676.21,8670193.82,651.119,548.674,0.0,548.674,0.0,0.0,2.066,certain_cold
dronbreen-20220328-DAT_0228_A1_2,440.0,538681.59,8670192.72,650.776,547.601,0.0,547.601,0.0,0.0,2.081,certain_cold
dronbreen-20220328-DAT_0228_A1_2,445.0,538686.55,8670192.04,650.434,546.634,0.0,546.634,0.0,0.0,2.093,certain_cold
dronbreen-20220328-DAT_0228_A1_2,450.0,538691.41,8670191.56,650.066,545.432,0.0,545.432,0.0,0.0,2.109,certain_cold
dronbreen-20220328-DAT_0228_A1_2,455.0,538695.96,8670190.76,649.698,544.335,0.0,544.335,0.0,0.0,2.124,certain_cold
dronbreen-20220328-DAT_0228_A1_2,460.0,538701.21,8670189.8,649.298,543.31,0.0,543.31,0.0,0.0,2.138,certain_cold
dronbreen-20220328-DAT_0228_A1_2,465.0,538706.4,8670188.83,648.955,542.341,0.0,542.341,0.0,0.0,2.149,certain_cold
dronbreen-20220328-DAT_0228_A1_2,470.0,538711.48,8670187.86,648.631,541.496,0.0,541.496,0.0,0.0,2.159,certain_cold
